text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@sujityadav05 @brijendra885326 @yadavsamjwadi @MediaCellSP @mishra_siswa @Kaamboltahai @AjayDeepYadav2 @narendramodi cycle,FALSE,0,sujityadav05,28/02/17 5:11,FALSE,8.3607E+17,8.36444E+17,7.16232E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",yasarnnp,0,FALSE,FALSE,NA,NA
"RT @Prashant77777: @akhilesh_in_UP @Kaamboltahai <U+092D><U+0948><U+092F><U+093E> <U+0915><U+0947> <U+0938><U+092E><U+094D><U+092E><U+093E><U+0928> <U+092E><U+0947><U+0902> <U+0939><U+0930> <U+092C><U+091A><U+094D><U+091A><U+093E>, <U+092A><U+0941><U+0930><U+0942><U+0937> <U+0914><U+0930> <U+0928><U+093E><U+0930><U+0940> <U+0939><U+0948> , <U+0935><U+094B> <U+091C><U+0940><U+0924> <U+091A><U+0941><U+0915><U+0947> <U+0939><U+0948><U+0902> <U+092F><U+0942><U+0966> <U+092A><U+0940><U+0966> <U+0905><U+092C> <U+0926><U+093F><U+0932><U+094D><U+0932><U+0940> <U+0915><U+0940> <U+0924><U+092F><U+094D><U+2026>",FALSE,0,NA,28/02/17 5:08,FALSE,NA,8.36443E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sunilya051284,7,TRUE,FALSE,NA,NA
RT @sujityadav05: #Vote4Cycle @brijendra885326 @yadavsamjwadi @MediaCellSP @mishra_siswa @Kaamboltahai @AjayDeepYadav2 @narendramodi https:<U+2026>,FALSE,0,NA,28/02/17 5:08,FALSE,NA,8.36443E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pankhuripathak,2,TRUE,FALSE,NA,NA
RT @Kaamboltahai: <U+092E><U+0941><U+091D><U+092E><U+0947><U+0902> <U+092D><U+0940> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+0939><U+0948> https://t.co/2geUBVGrr1,FALSE,0,NA,28/02/17 5:04,FALSE,NA,8.36442E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",samajwadi_hum,28,TRUE,FALSE,NA,NA
RT @Kaamboltahai: #<U+0915><U+093E><U+092E><U+092C><U+094B><U+0932><U+0924><U+093E><U+0939><U+0948> https://t.co/yvU01QrhAN,FALSE,0,NA,28/02/17 5:03,FALSE,NA,8.36442E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheAbhishekRaw,47,TRUE,FALSE,NA,NA
"RT @Kaamboltahai: <U+092E><U+0947><U+0930><U+093E> <U+0935><U+094B><U+091F> <U+0938><U+093F><U+0930><U+094D><U+092B> <U+0909><U+0938><U+0940> <U+0915><U+094B> <U+091C><U+093F><U+0938><U+0915><U+093E> <U+0915><U+093E><U+092E> <U+092C><U+094B><U+0932><U+0924><U+093E> <U+0939><U+0948>    #<U+0915><U+093E><U+092E><U+092C><U+094B><U+0932><U+0924><U+093E><U+0939><U+0948> https://t.co/oZ9DntdVcM",FALSE,0,NA,28/02/17 4:33,FALSE,NA,8.36434E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",k_dmishra,240,TRUE,FALSE,NA,NA
RT @AkhileshFan: <U+092A><U+0940><U+091B><U+0947> <U+096A> <U+0935><U+0930><U+094D><U+0937><U+094B> <U+092E><U+0947><U+0902>  @CMOfficeUP @yadavakhilesh @Kaamboltahai #Electricity4UP https://t.co/i3CRWpYZdV,FALSE,0,NA,28/02/17 4:15,FALSE,NA,8.3643E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AmarSin27899057,4,TRUE,FALSE,NA,NA
"RT @Kaamboltahai: <U+092E><U+0947><U+0930><U+093E> <U+0935><U+094B><U+091F> <U+0938><U+093F><U+0930><U+094D><U+092B> <U+0909><U+0938><U+0940> <U+0915><U+094B> <U+091C><U+093F><U+0938><U+0915><U+093E> <U+0915><U+093E><U+092E> <U+092C><U+094B><U+0932><U+0924><U+093E> <U+0939><U+0948>     #<U+0915><U+093E><U+092E><U+092C><U+094B><U+0932><U+0924><U+093E><U+0939><U+0948> https://t.co/U8RClJtJ8U",FALSE,0,NA,28/02/17 4:04,FALSE,NA,8.36427E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BeingAbbas1,233,TRUE,FALSE,NA,NA
@Kaamboltahai @Akhilesh_ARMY @yadavakhilesh @samajwad <U+0915><U+093E><U+0932><U+0947> <U+0927><U+0928> <U+0915><U+0940> <U+0935><U+0915><U+093E><U+0932><U+0924> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+092E><U+094B><U+0926><U+0940> <U+091C><U+0940> <U+0928><U+0947> <U+0926><U+094B> <U+0938><U+093E><U+0932> <U+092E><U+0947><U+0902> <U+0905><U+092A><U+0928><U+0947> <U+0915><U+092A><U+0921><U+093C><U+094B><U+0902> <U+092A><U+0930> <U+0916><U+0930><U+094D><U+091A> <U+0915><U+093F><U+090F> 70 <U+0915><U+0930><U+094B><U+0921><U+093C> <U+0930><U+0942><U+092A><U+090F>,FALSE,0,Kaamboltahai,28/02/17 3:28,FALSE,8.36078E+17,8.36418E+17,7.6842E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Raishusain5,0,FALSE,FALSE,NA,NA
RT @Kaamboltahai: <U+092E><U+0941><U+091D><U+092E><U+0947><U+0902> <U+092D><U+0940> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+0939><U+0948> https://t.co/FKIn0RXwZe,FALSE,0,NA,28/02/17 3:26,FALSE,NA,8.36417E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShivamV47438368,235,TRUE,FALSE,NA,NA
@yadavakhilesh @Kaamboltahai #morninggoodnews when u woke up reading somting like this #FeelingGood  #lucknow https://t.co/EiiZ47OkqJ,FALSE,1,yadavakhilesh,28/02/17 2:51,FALSE,NA,8.36408E+17,57948579,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",achauhan403,0,FALSE,FALSE,NA,NA
"@Kaamboltahai @samajwadiparty @yadavakhilesh <U+092E><U+0947><U+0930><U+093E> <U+0935><U+094B><U+091F> <U+0938><U+093F><U+0930><U+094D><U+092B> <U+0909><U+0938><U+0940> <U+0915><U+094B> <U+091C><U+093F><U+0938><U+0915><U+093E> <U+0915><U+093E><U+092E> <U+092C><U+094B><U+0932><U+0924><U+093E> <U+0939><U+0948><U+0938><U+092E><U+093E><U+091C><U+0935><U+093E><U+0926><U+0940> <U+092A><U+093E><U+0930><U+094D><U+091F><U+0940> <U+0915><U+094B> <U+0935><U+094B><U+091F> <U+0915><U+0930><U+0947><U+0902><U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+0915><U+094B> <U+092E><U+091C><U+092C><U+0942><U+0924> <U+0915><U+0930><U+0947><U+0902>",FALSE,0,Kaamboltahai,28/02/17 2:16,FALSE,8.36097E+17,8.364E+17,7.6842E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tausifjamalk,0,FALSE,FALSE,NA,NA
"@samajwadiparty @MediaCellSP @yadavakhilesh @Kaamboltahai <U+091C><U+092F> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+091C><U+0940> <U+091C><U+092F> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+091C><U+0940> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+092F><U+093E><U+0926><U+0935> <U+091C><U+093F><U+0902><U+0926><U+093E><U+092C><U+093E><U+0926> <U+0905><U+0902><U+0936><U+0941><U+0932> <U+092F><U+093E><U+0926><U+0935> <U+092D><U+0930><U+094D><U+0925><U+0928><U+093E>",FALSE,0,samajwadiparty,28/02/17 1:52,FALSE,8.36286E+17,8.36394E+17,143392465,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",anshulyadav234,0,FALSE,FALSE,NA,NA
"@samajwadiparty @MediaCellSP @yadavakhilesh @Kaamboltahai #<U+0915><U+093E><U+092E> <U+092C><U+094B><U+0932><U+0924><U+093E> <U+0939><U+0948><U+0964>",FALSE,0,samajwadiparty,28/02/17 1:42,FALSE,8.36286E+17,8.36391E+17,143392465,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KhalidSiddiquei,0,FALSE,FALSE,NA,NA
@Kaamboltahai @shivi_tandon22 Rapes..murders..extortion. Party won't get even a single seat if their work actually starts speaking.,FALSE,0,Kaamboltahai,28/02/17 1:34,FALSE,8.36173E+17,8.36389E+17,7.6842E+17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",prakhar_tweets,0,FALSE,FALSE,NA,NA
@Kaamboltahai @samajwadiparty @yadavakhilesh https://t.co/EB0Wc4BSHt,FALSE,0,Kaamboltahai,28/02/17 1:25,FALSE,8.36097E+17,8.36387E+17,7.6842E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PurenduT,0,FALSE,FALSE,NA,NA
@Kaamboltahai @samajwadiparty @yadavakhilesh https://t.co/aY0UQWzUeP,FALSE,0,Kaamboltahai,28/02/17 1:24,FALSE,8.36097E+17,8.36387E+17,7.6842E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PurenduT,0,FALSE,FALSE,NA,NA
@Kaamboltahai @samajwadiparty @yadavakhilesh https://t.co/vvc67S6q4e,FALSE,0,Kaamboltahai,28/02/17 1:24,FALSE,8.36097E+17,8.36387E+17,7.6842E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PurenduT,0,FALSE,FALSE,NA,NA
@Kaamboltahai @samajwadiparty @yadavakhilesh https://t.co/ZAtvLKpAc6,FALSE,0,Kaamboltahai,28/02/17 1:13,FALSE,8.36097E+17,8.36384E+17,7.6842E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PurenduT,0,FALSE,FALSE,NA,NA
RT @Kaamboltahai: #<U+0915><U+093E><U+092E><U+092C><U+094B><U+0932><U+0924><U+093E><U+0939><U+0948> https://t.co/tfCh8sYviO,FALSE,0,NA,28/02/17 1:11,FALSE,NA,8.36383E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KCSahuSP,64,TRUE,FALSE,NA,NA
RT @Kaamboltahai: <U+0909><U+0924><U+094D><U+0924><U+0930> <U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+0915><U+094B> <U+0909><U+0928><U+094D><U+0928><U+0924><U+093F> <U+0915><U+0947> <U+092A><U+0925> <U+092A><U+0930> <U+0906><U+0917><U+0947> <U+092C><U+0922><U+093C><U+093E><U+0924><U+093E> <U+0906><U+0917><U+0930><U+093E> <U+0932><U+0916><U+0928><U+090A> <U+090F><U+0915><U+094D><U+0938><U+092A><U+094D><U+0930><U+0947><U+0938>-<U+0935><U+0947> #<U+0915><U+093E><U+092E><U+092C><U+094B><U+0932><U+0924><U+093E><U+0939><U+0948>  @yadavakhilesh @samajwadiparty https://t.c<U+2026>,FALSE,0,NA,28/02/17 1:08,FALSE,NA,8.36383E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KCSahuSP,77,TRUE,FALSE,NA,NA
"<U+0935><U+093F><U+0915><U+093E><U+0938> <U+0915><U+0940> <U+091A><U+093E><U+092D><U+0940> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> |#Esat<ed><U+00A0><U+00BD><ed><U+00BA><U+00B4>@DimpleYadav10 @yadavakhilesh @samajwadiparty @MediaCellSP @UPCC_Official @juhiesingh<U+2026> https://t.co/cUM5yBqaRE",FALSE,1,NA,28/02/17 0:10,TRUE,NA,8.36368E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EkAkabr,0,FALSE,FALSE,NA,NA
@spsonigupta @shivpalsinghyad @samajwadiparty  @Kaamboltahai @Akhilesh_DilSe @deoriaupe @ISamajwadi @kpmaurya1 @SPWomenWing <U+092E><U+0947><U+0939><U+0928><U+0924> <U+0930><U+0902><U+0917> <U+0932><U+093E><U+090F><U+0917><U+0940>,FALSE,0,spsonigupta,27/02/17 22:22,FALSE,8.36256E+17,8.36341E+17,7.04608E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",haseebmohammad6,0,FALSE,FALSE,NA,NA
